Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\API\APIHttpClient.cs,11,4,T:System.Uri,,,,,httpClient.BaseAddress = new Uri(BaseUri);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\API\APIHttpClient.cs,11,4,M:System.Uri.#ctor(System.String),,,,,httpClient.BaseAddress = new Uri(BaseUri);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\API\APIHttpClient.cs,11,4,T:System.Uri,,,,,httpClient.BaseAddress = new Uri(BaseUri);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\API\APIRepository.cs,65,3,T:System.Net.Http.HttpContent,,,,,var content = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\API\APIRepository.cs,59,3,T:System.Uri,,,,,"var uri = new Uri(baseUri, $""{path}/{endPoint}?{queryBuilder}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\API\APIRepository.cs,59,3,"M:System.Uri.#ctor(System.Uri,System.String)",,,,,"var uri = new Uri(baseUri, $""{path}/{endPoint}?{queryBuilder}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\API\APIRepository.cs,57,3,P:System.Uri.AbsolutePath,,,,,string path = baseUri.AbsolutePath.TrimEnd('/');
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\API\APIRepository.cs,56,3,T:System.Uri,,,,,var baseUri = new Uri(_apiHttpClient.BaseUri);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\API\APIRepository.cs,56,3,M:System.Uri.#ctor(System.String),,,,,var baseUri = new Uri(_apiHttpClient.BaseUri);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\myNOC.WeatherLink\myNOC.WeatherLink.csproj,File,src\myNOC.WeatherLink\IServiceCollectionExtensions.cs,17,3,M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,services.AddHttpClient();
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\SampleConsoleApp\SampleConsoleApp.csproj,File,samples\SampleConsoleApp\SampleConsoleApp.csproj,,,Microsoft.Extensions.Configuration.EnvironmentVariables 9.0.0,,,,,"Microsoft.Extensions.Configuration.EnvironmentVariables, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.EnvironmentVariables, and replace with new package Microsoft.Extensions.Configuration.EnvironmentVariables 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\SampleConsoleApp\SampleConsoleApp.csproj,File,samples\SampleConsoleApp\SampleConsoleApp.csproj,,,Microsoft.Extensions.Logging.Console 9.0.0,,,,,"Microsoft.Extensions.Logging.Console, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\SampleConsoleApp\SampleConsoleApp.csproj,File,samples\SampleConsoleApp\SampleConsoleApp.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\SampleConsoleApp\SampleConsoleApp.csproj,File,samples\SampleConsoleApp\Program.cs,27,0,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"apiContext.APISecret = config.GetValue<string>(""WL_APISECRET"")!;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\SampleConsoleApp\SampleConsoleApp.csproj,File,samples\SampleConsoleApp\Program.cs,26,0,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"apiContext.APIKey = config.GetValue<string>(""WL_APIKEY"")!;"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\SampleConsoleApp\SampleConsoleApp.csproj,File,samples\SampleConsoleApp\Program.cs,18,0,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,services.AddLogging(options => options.AddConsole());
